Sleep for 7-9 hours
Read for 30 minutes
Jog for an hour outside
Tidy up room
Drink a cup of water
Do yoga for 10 minutes
Make your bed
Go outside and enjoy the view for 30 minutes
Eat a healthy home-cooked meal
Call your friends to catch up with them
Write a journal entry for your day
Have a snack
Do an act of kindess for someone
Take some time to relax and refocus
Write a schedule/To-Do list for tomorow
Have a cold shower to boost yourself
Learn a new hobby
Spend some time doing your favorite hobby
Save 20 dollars for rainy day funds
Set a daily spending goal
